"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-13","2022","11","16.9412940502","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-01","2022","11","0.0190947246","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-02","2022","11","0.0809665605","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-03","2022","11","0.3034324291","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-04","2022","11","0.3951036879","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-05","2022","11","1.6320576072","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-06","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-08","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-09","2022","11","8.93045E-5","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-10","2022","11","0.0054661275","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-11","2022","11","0.0324933887","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-12","2022","11","0.0039642731","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Nagvati and other","2022-11-13","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-01","2022","11","0.0016814597","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-02","2022","11","0.234276921","NRSC VIC MODEL"
