"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Cauvery Basin","Cauvery Upper","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-12","2023","02","0.0542569069","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-15","2023","02","0.0092408738","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-17","2023","02","0.014032143","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-18","2023","02","0.0178883136","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-21","2023","02","NA","NRSC VIC MODEL"
